,f1-score,precision,recall,support
0,0.385633270321361,0.27419354838709675,0.6496815286624203,471.0
1,0.22807017543859648,0.37142857142857144,0.16455696202531644,158.0
2,0.2711864406779661,0.2318840579710145,0.32653061224489793,98.0
3,0.3181818181818182,0.3684210526315789,0.28,25.0
4,0.20895522388059704,0.20588235294117646,0.21212121212121213,66.0
5,0.33862433862433866,0.27350427350427353,0.4444444444444444,72.0
6,0.15041782729805014,0.14594594594594595,0.15517241379310345,174.0
7,0.13120567375886524,0.11490683229813664,0.15289256198347106,242.0
8,0.4615384615384615,0.625,0.36585365853658536,41.0
9,0.37004405286343617,0.40384615384615385,0.34146341463414637,123.0
10,0.11111111111111109,0.1875,0.07894736842105263,38.0
11,0.05607476635514017,0.13043478260869565,0.03571428571428571,252.0
12,0.4371667936024372,0.36283185840707965,0.5498084291187739,522.0
13,0.1686746987951807,0.2023121387283237,0.1446280991735537,242.0
14,0.32758620689655166,0.3313953488372093,0.32386363636363635,176.0
15,0.39534883720930236,0.4358974358974359,0.3617021276595745,47.0
16,0.271356783919598,0.34615384615384615,0.2231404958677686,121.0
17,0.6134751773049645,0.5372670807453416,0.7148760330578512,242.0
18,0.10116731517509728,0.0931899641577061,0.11063829787234042,235.0
19,0.2370617696160267,0.23278688524590163,0.24149659863945577,294.0
20,0.3333333333333333,0.75,0.21428571428571427,28.0
21,0.5307443365695793,0.6833333333333333,0.43386243386243384,189.0
22,0.25092250922509224,0.23776223776223776,0.265625,128.0
23,0.3829787234042553,0.47368421052631576,0.32142857142857145,56.0
24,0.29347826086956524,0.27,0.32142857142857145,168.0
25,0.2413793103448276,0.34146341463414637,0.18666666666666668,75.0
26,0.19726027397260273,0.21176470588235294,0.18461538461538463,195.0
27,0.1205821205821206,0.15591397849462366,0.09830508474576272,295.0
28,0.2275449101796407,0.2733812949640288,0.19487179487179487,195.0
29,0.21739130434782608,0.3883495145631068,0.1509433962264151,265.0
30,0.39999999999999997,0.5116279069767442,0.3283582089552239,134.0
31,0.3178484107579462,0.3672316384180791,0.2801724137931034,232.0
32,0.3125,0.3448275862068966,0.2857142857142857,210.0
33,0.25895316804407714,0.21559633027522937,0.32413793103448274,145.0
34,0.13043478260869565,0.19480519480519481,0.09803921568627451,153.0
35,0.43786982248520706,0.4805194805194805,0.40217391304347827,184.0
36,0.022598870056497175,0.043478260869565216,0.015267175572519083,131.0
37,0.19726858877086495,0.17060367454068243,0.23381294964028776,278.0
38,0.19455252918287938,0.21008403361344538,0.18115942028985507,276.0
39,0.08602150537634408,0.09411764705882353,0.07920792079207921,101.0
40,0.028708133971291867,0.17647058823529413,0.015625,192.0
41,0.19236641221374043,0.15365853658536585,0.2571428571428571,245.0
42,0.35772357723577236,0.5641025641025641,0.2619047619047619,168.0
43,0.4717741935483871,0.4936708860759494,0.4517374517374517,259.0
44,0.2162162162162162,0.1951219512195122,0.24242424242424243,33.0
accuracy,0.2832957110609481,0.2832957110609481,0.2832957110609481,0.2832957110609481
macro avg,0.2667407119081258,0.30836335776441026,0.2601431676932468,7974.0
weighted avg,0.26975573553455234,0.2908711522153566,0.2832957110609481,7974.0
