,f1-score,precision,recall,support
0,0.5807033363390441,0.47774480712166173,0.7402298850574712,435.0
1,0.2590673575129534,0.4807692307692308,0.1773049645390071,141.0
2,0.39473684210526316,0.5172413793103449,0.3191489361702128,94.0
3,0.4444444444444445,0.5,0.4,20.0
4,0.3018867924528302,0.36363636363636365,0.25806451612903225,62.0
5,0.27692307692307694,0.2608695652173913,0.29508196721311475,61.0
6,0.144,0.12857142857142856,0.16363636363636364,165.0
7,0.03322259136212625,0.0684931506849315,0.021929824561403508,228.0
8,0.6753246753246753,0.6341463414634146,0.7222222222222222,36.0
9,0.36842105263157887,0.47297297297297297,0.3017241379310345,116.0
10,0.037037037037037035,0.043478260869565216,0.03225806451612903,31.0
11,0.13793103448275862,0.13793103448275862,0.13793103448275862,232.0
12,0.44668587896253603,0.34216335540838855,0.6431535269709544,482.0
13,0.24902723735408563,0.22695035460992907,0.27586206896551724,232.0
14,0.3310344827586207,0.3870967741935484,0.2891566265060241,166.0
15,0.41025641025641024,0.4444444444444444,0.38095238095238093,42.0
16,0.3391304347826086,0.34513274336283184,0.3333333333333333,117.0
17,0.7484909456740443,0.7045454545454546,0.7982832618025751,233.0
18,0.12133891213389124,0.1141732283464567,0.12946428571428573,224.0
19,0.27829313543599254,0.28957528957528955,0.26785714285714285,280.0
20,0.06451612903225806,0.25,0.037037037037037035,27.0
21,0.5238095238095238,0.6581196581196581,0.4350282485875706,177.0
22,0.3636363636363637,0.4470588235294118,0.3064516129032258,124.0
23,0.2439024390243902,0.3225806451612903,0.19607843137254902,51.0
24,0.2582417582417582,0.22596153846153846,0.30128205128205127,156.0
25,0.3652173913043478,0.4772727272727273,0.29577464788732394,71.0
26,0.1533546325878594,0.18604651162790697,0.13043478260869565,184.0
27,0.2050561797752809,0.16898148148148148,0.26071428571428573,280.0
28,0.25368731563421826,0.28104575163398693,0.23118279569892472,186.0
29,0.25754527162977864,0.2591093117408907,0.256,250.0
30,0.4357976653696498,0.4409448818897638,0.4307692307692308,130.0
31,0.3126550868486352,0.33689839572192515,0.2916666666666667,216.0
32,0.2795275590551181,0.23127035830618892,0.35323383084577115,201.0
33,0.39330543933054396,0.47959183673469385,0.3333333333333333,141.0
34,0.22489959839357432,0.25925925925925924,0.19858156028368795,141.0
35,0.4942528735632184,0.48863636363636365,0.5,172.0
36,0.048484848484848485,0.09523809523809523,0.032520325203252036,123.0
37,0.24336283185840707,0.2849740932642487,0.21235521235521235,259.0
38,0.2309197651663405,0.22868217054263565,0.233201581027668,253.0
39,0.1176470588235294,0.09142857142857143,0.16494845360824742,97.0
40,0.04255319148936171,0.4444444444444444,0.0223463687150838,179.0
41,0.26760563380281693,0.29533678756476683,0.2446351931330472,233.0
42,0.3488372093023256,0.45,0.2848101265822785,158.0
43,0.4668094218415418,0.49321266968325794,0.44308943089430897,246.0
44,0.32258064516129037,0.30303030303030304,0.3448275862068966,29.0
accuracy,0.32348616495120974,0.32348616495120974,0.32348616495120974,0.32348616495120974
macro avg,0.2999147002475768,0.3364235746524403,0.29395327413949585,7481.0
weighted avg,0.3104892259642916,0.3290671153048992,0.32348616495120974,7481.0
